0,0,0,24,0,0
0,0,1,36,0,0
600,1,0,100000,0,0
600,1,1,100000,0,0
800,1,0,000000,0,0
800,1,1,000000,0,0
1000,0,0,24,0,0
1000,0,1,36,0,0
1600,1,0,100000,0,0
1600,1,1,100000,0,0
1800,1,0,000000,0,0
1800,1,1,000000,0,0
2000,0,0,28,0,0
2000,0,1,43,0,0
2600,1,0,100000,0,0
2600,1,1,100000,0,0
2800,1,0,000000,0,0
2800,1,1,000000,0,0
3000,0,0,24,0,0
3000,0,1,43,0,0
3600,1,0,100000,0,0
3600,1,1,100000,0,0
3800,1,0,000000,0,0
3800,1,1,000000,0,0
4000,0,0,29,0,0
4000,0,1,45,0,0
4600,1,0,100000,0,0
4600,1,1,100000,0,0
4800,1,0,000000,0,0
4800,1,1,000000,0,0
5000,0,0,24,0,0
5000,0,1,45,0,0
5600,1,0,100000,0,0
5600,1,1,100000,0,0
5800,1,0,000000,0,0
5800,1,1,000000,0,0
6000,0,0,28,0,0
6000,0,1,43,0,0
6600,1,0,100000,0,0
6600,1,1,100000,0,0
7800,1,0,000000,0,0
7800,1,1,000000,0,0
8000,0,0,24,0,0
8000,0,0,26,0,0
8600,1,0,100000,0,0
8600,1,1,100000,0,0
8800,1,0,000000,0,0
8800,1,1,000000,0,0
9000,0,0,23,0,0
9000,0,1,41,0,0
9600,1,0,100000,0,0
9600,1,1,100000,0,0
9800,1,0,000000,0,0
9800,1,1,000000,0,0
10000,0,0,24,0,0
10000,0,1,40,0,0
10600,1,0,100000,0,0
10600,1,1,100000,0,0
10800,1,0,000000,0,0
10800,1,1,000000,0,0
11000,0,0,21,0,0
11000,0,1,40,0,0
11600,1,0,100000,0,0
11600,1,1,100000,0,0
11800,1,0,000000,0,0
11800,1,1,000000,0,0
12000,0,0,17,0,0
12000,0,1,38,0,0
12600,1,0,100000,0,0
12600,1,1,100000,0,0
12800,1,0,000000,0,0
12800,1,1,000000,0,0
13000,0,0,19,0,0
13000,0,1,38,0,0
13600,1,0,100000,0,0
13600,1,1,100000,0,0
13800,1,0,000000,0,0
13800,1,1,000000,0,0
14000,0,0,12,0,0
14000,0,1,36,0,0
14600,1,0,100000,0,0
14600,1,1,100000,0,0
15800,1,0,000000,0,0
15800,1,1,000000,0,0
16000,0,0,28,0,0
16000,0,1,43,0,0
16600,1,0,100000,0,0
16600,1,1,100000,0,0
16800,1,0,000000,0,0
16800,1,1,000000,0,0
17000,0,0,19,0,0
17000,0,1,43,0,0
17600,1,0,100000,0,0
17600,1,1,100000,0,0
17800,1,0,000000,0,0
17800,1,1,000000,0,0
18000,0,0,26,0,0
18000,0,1,41,0,0
18600,1,0,100000,0,0
18600,1,1,100000,0,0
18800,1,0,000000,0,0
18800,1,1,000000,0,0
19000,0,0,19,0,0
19000,0,1,41,0,0
19600,1,0,100000,0,0
19600,1,1,100000,0,0
19800,1,0,000000,0,0
19800,1,1,000000,0,0
20000,0,0,24,0,0
20000,0,1,40,0,0
20600,1,0,100000,0,0
20600,1,1,100000,0,0
20800,1,0,000000,0,0
20800,1,1,000000,0,0
21000,0,0,19,0,0
21000,0,1,40,0,0
21600,1,0,100000,0,0
21600,1,1,100000,0,0
21800,1,0,000000,0,0
21800,1,1,000000,0,0
22000,0,0,23,0,0
22000,0,1,38,0,0
22600,1,1,100000,0,0
23800,1,1,000000,0,0
24000,0,0,19,0,0
24000,0,0,28,0,0
24000,0,1,43,0,0
24600,1,0,100000,0,0
24600,1,1,100000,0,0
24800,1,0,000000,0,0
24800,1,1,000000,0,0
25000,0,0,19,0,0
25000,0,1,43,0,0
25600,1,0,100000,0,0
25600,1,1,100000,0,0
25800,1,0,000000,0,0
25800,1,1,000000,0,0
26000,0,0,26,0,0
26000,0,1,41,0,0
26600,1,0,100000,0,0
26600,1,1,100000,0,0
26800,1,0,000000,0,0
26800,1,1,000000,0,0
27000,0,0,19,0,0
27000,0,1,41,0,0
27600,1,0,100000,0,0
27600,1,1,100000,0,0
27800,1,0,000000,0,0
27800,1,1,000000,0,0
28000,0,0,24,0,0
28000,0,1,40,0,0
28600,1,0,100000,0,0
28600,1,1,100000,0,0
28800,1,0,000000,0,0
28800,1,1,000000,0,0
29000,0,0,19,0,0
29000,0,1,40,0,0
29600,1,0,100000,0,0
29600,1,1,100000,0,0
29800,1,0,000000,0,0
29800,1,1,000000,0,0
30000,0,0,23,0,0
30000,0,1,38,0,0
30600,1,1,100000,0,0
31800,1,1,000000,0,0
32000,0,0,19,0,0
32000,0,0,24,0,0
32000,0,1,36,0,0
32600,1,0,100000,0,0
32600,1,1,100000,0,0
32800,1,0,000000,0,0
32800,1,1,000000,0,0
33000,0,0,24,0,0
33000,0,1,36,0,0
33600,1,0,100000,0,0
33600,1,1,100000,0,0
33800,1,0,000000,0,0
33800,1,1,000000,0,0
34000,0,0,28,0,0
34000,0,1,43,0,0
34600,1,0,100000,0,0
34600,1,1,100000,0,0
34800,1,0,000000,0,0
34800,1,1,000000,0,0
35000,0,0,24,0,0
35000,0,1,43,0,0
35600,1,0,100000,0,0
35600,1,1,100000,0,0
35800,1,0,000000,0,0
35800,1,1,000000,0,0
36000,0,0,29,0,0
36000,0,1,45,0,0
36600,1,0,100000,0,0
36600,1,1,100000,0,0
36800,1,0,000000,0,0
36800,1,1,000000,0,0
37000,0,0,24,0,0
37000,0,1,45,0,0
37600,1,0,100000,0,0
37600,1,1,100000,0,0
37800,1,0,000000,0,0
37800,1,1,000000,0,0
38000,0,0,28,0,0
38000,0,1,43,0,0
38600,1,0,100000,0,0
38600,1,1,100000,0,0
39800,1,0,000000,0,0
39800,1,1,000000,0,0
40000,0,0,24,0,0
40000,0,0,26,0,0
40600,1,0,100000,0,0
40600,1,1,100000,0,0
40800,1,0,000000,0,0
40800,1,1,000000,0,0
41000,0,0,23,0,0
41000,0,1,41,0,0
41600,1,0,100000,0,0
41600,1,1,100000,0,0
41800,1,0,000000,0,0
41800,1,1,000000,0,0
42000,0,0,24,0,0
42000,0,1,40,0,0
42600,1,0,100000,0,0
42600,1,1,100000,0,0
42800,1,0,000000,0,0
42800,1,1,000000,0,0
43000,0,0,21,0,0
43000,0,1,40,0,0
43600,1,0,100000,0,0
43600,1,1,100000,0,0
43800,1,0,000000,0,0
43800,1,1,000000,0,0
44000,0,0,17,0,0
44000,0,1,38,0,0
44600,1,0,100000,0,0
44600,1,1,100000,0,0
44800,1,0,000000,0,0
44800,1,1,000000,0,0
45000,0,0,19,0,0
45000,0,1,38,0,0
45600,1,0,100000,0,0
45600,1,1,100000,0,0
45800,1,0,000000,0,0
45800,1,1,000000,0,0
46000,0,0,12,0,0
46000,0,1,36,0,0
